post_id,post_date,is_published,email_sent_at,type,audience,title,subtitle,podcast_url
45783689.understanding-our-current-price-level,2021-12-22T14:57:13.604Z,true,2021-12-22T14:57:13.722Z,newsletter,everyone,Understanding Our Current Price-Level Surge,& BRIEFLY NOTED: For 2021-12-22 We,
45762105.john-holbo-on-the-persistent-structures,2021-12-23T18:00:06.635Z,true,2021-12-23T18:00:06.704Z,newsletter,everyone,"John Holbo on þe Persistent Structures of ""Establishment Wisdom""",& BRIEFLY NOTED: For 2021-12-23 Th,
45721692.the-right-wing-war-against-rootless,2021-12-26T14:40:40.163Z,true,2021-12-26T14:40:40.247Z,newsletter,everyone,Þe Right-Wing War Against Rootless Cosmopolites Never Ends,& BRIEFLY NOTED: For 2021-12-26 Su,
45697638.nobody-expects-the-spanish-strikeinquisitionstri,2021-12-20T15:39:39.844Z,true,2021-12-20T15:39:39.906Z,newsletter,everyone,Nobody Expects... Þe Spanish <strike>Inquisition</strike> Virus Variant Mutation,& BRIEFLY NOTED: For 2021-12-20 Mo,
45660608.reading-edward-saids-review-of-eric,2021-12-17T23:39:16.871Z,true,,newsletter,everyone,"READING: Edward Said's Review of Eric Hobsbawm's ""Age of Extremes""","A very interesting yet very odd and, to me at least, puzzling review of Hobsbawm's take on the short twentieth century...",
45654535.is-e-wilhelmine-china-analogy-useful,2021-12-19T14:39:31.809Z,true,2021-12-19T14:39:31.906Z,newsletter,everyone,"Is þe ""Wilhelmine China"" Analogy Useful, or Useless?",BRIEFLY NOTED: For 2021-12-19 Su,
45651454.dan-froomkin-on-why-reporters-punch,2021-12-18T14:36:55.200Z,true,2021-12-18T14:36:55.263Z,newsletter,everyone,Dan Froomkin on Why Reporters Punch Well Below Þeir Potential Weight,& BRIEFLY NOTED: For 2021-12-18 Sa,
45606073.is-inflation-non-transitory,2021-12-17T16:25:16.308Z,true,2021-12-17T16:25:16.375Z,newsletter,everyone,"Is Inflation ""Non-Transitory""?",& BRIEFLY NOTED: For 2021-12-17 Fr,
45492467.reading-how-was-it-that-rome-conquered,2021-12-14T22:40:52.190Z,true,2021-12-14T22:40:52.252Z,newsletter,everyone,"READING: How Was It Þt Rome Conquered þe Mediterranean & Created Its Pax Romana, Anyway?",The ability—nay the eagerness—to turn conquered peoples into Romans was the key:,
45490203.plotting-out-e-first-lecture-for,2021-12-16T14:18:57.346Z,true,2021-12-16T14:18:57.452Z,newsletter,everyone,Plotting Out þe First Lecture for Spring 2022: History of Economic Growth,& BRIEFLY NOTED: For 2021-12-16 Th,
45486051.podcast-hexapodia-is-e-key-insight-155,2021-12-14T20:25:59.243Z,true,2021-12-14T20:25:59.332Z,podcast,everyone,"PODCAST: ""Hexapodia"" is þe Key Insight XXXII: Þe “Rule & Ruin” of America’s Republican Party, & Other Topics","Noah Smith & Brad DeLong's Weekly Podcast, with Special Guest Geoffrey Kabaservice",https://bucketeer-e05bbc84-baa3-437e-9518-adb32be77984.s3.amazonaws.com/public/audio/2187bb17-ce83-4c91-acf5-196f0e534091.mpga
45429624.looking-at-diane-coyle-cogs-and-monsters,2021-12-14T04:00:49.858Z,true,2021-12-14T04:00:49.914Z,newsletter,everyone,"Looking at: Diane Coyle: ""Cogs & Monsters""",& BRIEFLY NOTED: For 2021-12-14 Tu,
